Timestamp,hour,dayofweek,month,year,dayofyear,Temperature,Humidity,Demand,sin_hour,cos_hour,sin_dow,cos_dow,Demand_lag_1,Demand_lag_24,Demand_lag_168,Demand_roll_mean_3,Demand_roll_std_3,Demand_roll_mean_24,Demand_roll_std_24,Demand_roll_mean_168,Demand_roll_std_168
2024-01-01 00:00:00,0,0,1,2024,1,13.05188329,48.09551657,4742.438983,0.0,1.0,0.0,1.0,3113.810048,4995.672588,2457.119872,3948.9972686666674,730.7564805601007,3851.799510833334,1016.958689203504,3737.6731894761906,973.3283624598184
2024-01-01 01:00:00,1,0,1,2024,1,12.81931027,57.58588279,4461.66156,0.2588190451025208,0.9659258262890684,0.0,1.0,4742.438983,2924.18954,2622.193016,4039.5560370000003,836.874544917712,3841.248110625,1005.8272719112911,3751.2762794226196,971.2918830731983
2024-01-01 02:00:00,2,0,1,2024,1,12.707981,57.43690508,4444.176447,0.4999999999999999,0.8660254037844386,0.0,1.0,4461.66156,3768.807077,3213.228194,4105.970197,870.6292616633157,3905.3094447916665,993.7688349548997,3762.225496946429,968.8526472088215
2024-01-01 03:00:00,3,0,1,2024,1,14.80339974,46.83439829,4902.958381,0.7071067811865476,0.7071067811865477,0.0,1.0,4444.176447,4279.45432,3890.171574,4549.425663333334,167.38290973308682,3933.4498352083338,999.2823300933054,3769.552569880952,969.3304074988021
2024-01-01 04:00:00,4,0,1,2024,1,9.114416124,54.73358475,4986.645985,0.8660254037844385,0.5000000000000001,0.0,1.0,4902.958381,4424.534926,4424.292539,4602.932129333334,259.9773952885453,3959.429171083333,1016.6233222716141,3775.581062779762,973.2266061859997
2024-01-01 05:00:00,5,0,1,2024,1,21.46072729,54.02646412,4654.018724,0.9659258262890684,0.2588190451025208,0.0,1.0,4986.645985,5400.257796,4579.005683,4777.926937666667,292.049561343605,3982.8504652083334,1034.1287905870533,3778.928404720238,976.4329675022801
2024-01-01 06:00:00,6,0,1,2024,1,5.263470102,53.43032719,4240.586886,1.0,6.123233995736766e-17,0.0,1.0,4654.018724,4833.704288,4934.749367,4847.874363333334,173.0199712224349,3951.7571705416667,1000.3246089635096,3779.3749109166665,976.8180951715576
2024-01-01 07:00:00,7,0,1,2024,1,6.970718683,37.68875649,4031.527406,0.9659258262890685,-0.2588190451025207,0.0,1.0,4240.586886,4587.785143,4730.327617,4627.0838650000005,373.7581567968562,3927.0439454583334,984.7945819469193,3775.2429913869046,973.363659369922
2024-01-01 08:00:00,8,0,1,2024,1,3.0,45.20503177,3185.961038,0.8660254037844387,-0.4999999999999997,0.0,1.0,4031.527406,5067.747682,4393.986282,4308.711005333334,316.7878343190488,3903.8665397499994,975.0655213365718,3771.0834663214287,970.7474008560712
2024-01-01 09:00:00,9,0,1,2024,1,3.0,59.72549654,2751.12628,0.7071067811865477,-0.7071067811865475,0.0,1.0,3185.961038,4823.680247,4457.071914,3819.358443333334,558.4090537918653,3825.4587629166667,952.8113098389728,3763.8928398690477,970.5798319362768
